Year,Species Common,Estimated Exvessel Value (nominal),Number Of Fish,Pounds
2000,Sockeye,160995425.9,33291046,205610425
2001,Chinook,10625008.22,368874,6348384
2001,Chum,46181718.65,15416089,129273977
2001,Coho,16712146.71,4905694,34746651
2001,Pink,56799828.06,127456797,427289658
2001,Sockeye,97873468.52,26347416,169933378
2002,Chinook,12553767.44,552058,9157445
2002,Chum,27978611.1,16182582,139813017
2002,Coho,14079450.24,5032187,38871316
2002,Pink,29267714.32,86935715,299367261
2002,Sockeye,80623586.87,21991423,134008611
2003,Chinook,14045686.73,607887,9982609
2003,Chum,22913656.99,17958773,125075676
2003,Coho,14934149.75,4176818,30785502
2003,Pink,43626744.17,108704115,390287205
2003,Sockeye,116489354.3,30714500,186493307
2004,Chinook,23708523.29,794946,12653838
2004,Chum,26453528.1,16453599,129366856
2004,Coho,27393240.91,5428500,39467398
2004,Pink,38070675.69,99646858,361373045
2004,Sockeye,157364276.7,44151890,254960835
2005,Chinook,23029584.66,679264,10513404
2005,Chum,25803083.87,11725809,95776736
2005,Coho,24159782.6,4783597,31510005
2005,Pink,65368836.83,160878045,554823945
2005,Sockeye,195697147.7,43150685,265490928
2006,Chinook,28750600.62,624265,9883795
2006,Chum,57939026.24,21047210,181548510
2006,Coho,33490950.73,4409913,31958746
2006,Pink,43704186.32,72760456,269354684
2006,Sockeye,181077170.7,41569090,237287437
2007,Chinook,26786231.1,562314,8551105
2007,Chum,44580814.4,17200759,130310924
2007,Coho,24092293.12,3626010,24457108
2007,Pink,97748500.09,143894292,504224442
2007,Sockeye,223657693.3,47336190,278833691
2008,Chinook,22296263.84,344895,5243743
2008,Chum,88199791.76,18282649,147568987
2008,Coho,46390886.14,4444311,35298036
2008,Pink,103933818.7,84043425,292979079
2008,Sockeye,195715594,38928312,224927961
2009,Chinook,13890983.1,361168,5132122
2009,Chum,64772261.22,17940186,130748387
2009,Coho,26364899.67,4114532,27492189
2009,Pink,81605030.9,97130272,308875428
2009,Sockeye,233042593.7,43234509,258043483
2010,Chinook,18647899.88,378953,5377527
2010,Chum,101066109.6,18128274,138757223
2010,Coho,33662367.45,4027602,30348635
2010,Pink,147512012.9,107226964,400520942
2010,Sockeye,264046295.1,41186898,242191128
2011,Chinook,22074787.59,459798,6232010
2011,Chum,104170932.7,16985907,125506853
2011,Coho,25187497.98,3474827,21644693
2011,Pink,184082773.4,116100487,395256200
2011,Sockeye,326624788.3,40193196,248511215
2012,Chinook,18045800.41,342223,4559291
2012,Chum,144064055.6,20172516,168453847
2012,Coho,24985087.8,3137578,20305784
2012,Pink,124755511.2,67848666,251351540
2012,Sockeye,277184951.6,35748941,213716337
2013,Chinook,17161137.53,323094,4102472
2013,Chum,92717100.88,21089781,159158661
2013,Coho,47859728.77,5738863,36732824
2013,Pink,281305497.7,223647950,674328042
